"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingUserRepository","FindTop(DateTime startTimestamp, DateTime endTimestamp, Int32 start, Int32 max)","Top users retrieved : 1/11/2008 12:00:00 AM, 10/12/2010 6:47:38 PM, 0, 20","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 7d116c97-4cba-4fbc-bac7-299babd0ae29, 7/28/2009 12:02:31 PM, 10/12/2010 6:47:38 PM","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 7d116c97-4cba-4fbc-bac7-299babd0ae29, 7/28/2009 12:02:31 PM, 10/12/2010 6:47:38 PM","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 0c9e2ca0-17a3-4a9c-bfe4-d4414a6c52e8, 7/28/2009 2:07:30 PM, 10/12/2010 6:47:38 PM","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 0c9e2ca0-17a3-4a9c-bfe4-d4414a6c52e8, 7/28/2009 2:07:30 PM, 10/12/2010 6:47:38 PM","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 48564e00-4a50-4aeb-8c6d-e6d12f35be9a, 7/28/2009 2:04:16 PM, 10/12/2010 6:47:38 PM","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 48564e00-4a50-4aeb-8c6d-e6d12f35be9a, 7/28/2009 2:04:16 PM, 10/12/2010 6:47:38 PM","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingUserRepository","FindTop(DateTime startTimestamp, DateTime endTimestamp, Int32 start, Int32 max)","Retrieving top users : 10/11/2010 6:47:38 PM, 10/12/2010 6:47:38 PM, 0, 20","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Warning","Kigg.Repository","LoggingUserRepository","FindTop(DateTime startTimestamp, DateTime endTimestamp, Int32 start, Int32 max)","Did not find any top user : 10/11/2010 6:47:38 PM, 10/12/2010 6:47:38 PM, 0, 20","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingTagRepository","FindByUsage(Int32 top)","Retrieving tags by usage : 50","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingTagRepository","FindByUsage(Int32 top)","Tags retrieved by usage : 50","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 3b4ec607-1651-4d65-a3e0-c951b149f337","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 3b4ec607-1651-4d65-a3e0-c951b149f337","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : b34721ac-0d9d-49c2-aa78-b1bf9d92b278","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : b34721ac-0d9d-49c2-aa78-b1bf9d92b278","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:38 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 6506143c-9ca5-4d12-a392-60779dec66b5","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:39 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 6506143c-9ca5-4d12-a392-60779dec66b5","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:39 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : d879eac3-868b-45d1-8495-f4d19a5267f4","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:39 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : d879eac3-868b-45d1-8495-f4d19a5267f4","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:39 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 3b82af45-22cb-49eb-a11b-bf3fd23de933","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:39 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 3b82af45-22cb-49eb-a11b-bf3fd23de933","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:39 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : ec7caa00-4f6a-47e9-8d4e-8f0e7e3dbcdc","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:39 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : ec7caa00-4f6a-47e9-8d4e-8f0e7e3dbcdc","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
"MOSESLAPTOP","10/12/2010 6:47:39 PM","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 7b4db8c7-d3cd-4568-8de1-fb90e4b76156","admin","::1","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10","/","/"
